textID,ID,wordID
2002364	153180333	69
2002364	153180334	3
2002364	153180335	978
2002364	153180336	8880
2002364	153180337	8047
2002364	153180338	12
2002364	153180339	3
2002364	153180340	351
2002364	153180341	19630
2002364	153180342	134
2002364	153180343	6720
2002364	153180344	38
2002364	153180345	42
2002364	153180346	3355
2002364	153180347	3923
2002364	153180348	52
2002364	153180349	10985
2002364	153180350	3
2002364	153180351	44306
2002364	153180352	3792
2002364	153180353	22
2002364	153180354	3
2002364	153180355	809
2002364	153180356	449
2002364	153180357	3531
